alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,base_*N1_exposed_area,sulfonyl_fluoride_*S1_electrostatic_charge,sulfonyl_fluoride_*F1_electrostatic_charge,sulfonyl_fluoride_*O1_electrostatic_charge,yield
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,20
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,31
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,56
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,57
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,53
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,55
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,58
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,86
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,80
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,86
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,88
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,81
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,94
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,91
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,93
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,95
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,97
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,31
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,34
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,52
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,69
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,82
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,35
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,44
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,60
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,76
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,90
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,26
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,23
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,46
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,59
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,85
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,41
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,32
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,57
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,59
0.428,6.426,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,86
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439,39
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401,56
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436,45
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43,49
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384,57
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439,81
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401,73
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436,81
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43,82
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384,84
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439,64
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401,59
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436,78
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43,86
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384,84
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439,78
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401,66
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436,78
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43,76
0.18,4.738,0.15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384,82
